"";"ans1";"Biospheric-1biospheric";"Biospheric-2biospheric";"Biospheric-3biospheric";"Biospheric-4biospheric";"commCheck";"concernClimate1";"concernClimate2";"dummy_informedconsent";"education";"feedback_critic";"ID";"lrscale";"mean_BiosphericValues";"mean_CCCprobability";"mean_CET";"mean_PolicyItems";"mean_RiskPerception";"meta.devicePixelRatio";"meta.language";"meta.locale";"meta.platform";"meta.screen_height";"meta.screen_width";"meta.scroll_height";"meta.scroll_width";"meta.timeZone";"meta.timezoneOffset";"meta.userAgent";"meta.window_innerHeight";"meta.window_innerWidth";"policyItems-1";"policyItems-2";"policyItems-3";"policyItems-4";"policyItems-5";"policyItems-6";"policyItems-7";"policyItems-8";"probabilityClimate1";"probabilityClimate2";"PROLIFIC_PID";"Risk-1riskProb";"Risk-2riskProb";"Risk-3riskProb";"Risk-4riskProb";"rlgdgr";"total_min_prolific_t2";"CAM_ID";"participantCAM";"mean_valence_macro";"mean_valence_normed_macro";"density_macro";"transitivity_macro";"centr_degree_macro";"centr_clo_macro";"centr_betw_macro";"centr_eigen_macro";"meanDistance_directed_macro";"meanDistance_undirected_macro";"diameter_weighted_undirected_macro";"diameter_unweighted_undirected_macro";"diameter_unweighted_directed_macro";"num_nodes_macro";"num_nodes_pos_macro";"num_nodes_neg_macro";"num_nodes_neut_macro";"num_nodes_ambi_macro";"num_edges_macro";"num_edges_solid_macro";"num_edges_dashed_macro";"num_edges_invaliddashed_macro";"meanWeightEdges_macro";"reciprocity_macro";"assortativity_valence_macro";"assortativityDegree_macro";"degreetot_micro_ClimateChange";"valence_micro_ClimateChange";"centr_clo_micro_ClimateChange";"transitivity_micro_ClimateChange";"country"
"1";"Ich empfinde den Klimawandel als eine sehr ernstzunehmende Bedrohung für die Menschheit und die Umwelt. Die negativen Folgen des Klimawandels sind bereits heute spürbar und werden sich in Zukunft noch weiter verschärfen. Ich bin besorgt über die Folgen des Klimwandels für mich selbst, meine Familie und meine Freunde, aber auch für zukünftige Generationen. Ich sehe da leider nichts Positives wenn keine Maßnehmen eingesetzt werden.";7;8;8;7;1;6;4;1;"no";"";1;"11";7,5;5;0,2;2,125;6;1;"de";"de-DE";"Linux x86_64";1200;1920;435;1850;"Europe/Berlin";-60;"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/118.0";1054;1850;2;1;3;1;2;3;2;3;4;6;"65410ad762a7e3c570b6273c";6;6;6;6;"8";36,7;"ac65f89b-77aa-4a16-9186-0ce6d4964205";"noID";-0,181818181818182;-0,136363636363636;0,121212121212121;0,201923076923077;0,25974025974026;0,465901800419164;0,373015873015873;0,740385687575861;2,59307359307359;2,59307359307359;4;4;4;22;7;10;1;4;28;28;0;0;1;1;0,0604982206405691;-0,32538569424965;8;0;1;0,25;"Germany"
"2";"Ich glaube, dass wir den Klimawandel bekämpfen können. Aber Regierungen und Unternehmen machen einen furchtbaren Job. Sie tun so, als würden sie helfen. Aber sie tun eigentlich mehr weh. Und den meisten Menschen ist es egal oder sie wissen es nicht.";9;9;9;7;1;7;7;1;"master";"Ein sehr wichtiges Thema. Viel Glück!";2;"1";8,5;6,5;0,16;5,375;6;1;"en-US";"en-US";"Win32";1080;1920;435;1920;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36";931;1920;7;5;4;5;7;4;5;6;5;7;"6053d1011605ac6f3164bc99";7;7;5;5;"2";33,95;"96328cf1-ed80-4289-8795-233d93caf8db";"noID";-0,461538461538462;-0,153846153846154;0,205128205128205;0,153846153846154;0,378205128205128;0,559313435745992;0,672348484848485;0,703963141454436;4,69230769230769;4,69230769230769;12;4;4;13;5;7;0;1;16;13;3;0;2,25;1;-0,28735632183908;-0,299719887955182;7;-3;1;0,0952380952380952;"Germany"
"3";"Denn der Klimawandel ist heute zu groß und wenn er so weitergeht, wird er zu Hungersnöten und Artensterben führen";8;8;9;7;1;7;6;1;"phd";"Viel Glück bei Ihrer Recherche";3;"6";8;5,75;0,92;5,25;5,75;1;"en-US";"tr-TR";"Win32";768;1366;435;1318;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0";654;1318;7;7;6;2;7;5;3;5;4;6;"65465caa5dcdb76a16d563b3";6;6;7;4;"2";40,4;"89fab424-c113-46a2-a10f-aceb3b9f81e8";"noID";-0,0769230769230769;0,0769230769230769;0,166666666666667;0,125;0,25;0,43252399995614;0,650252525252525;0,645972914443285;5,44871794871795;5,44871794871795;10;5;5;13;7;6;0;0;13;9;4;3;2,07692307692308;1;0,23076923076923;-0,552777777777778;5;3;1;0;"Germany"
"4";"Weil ich den Klimawandel ausschließlich negativ sehe. Auch wenn die Menschen beginnen, sich klimafreundlicher zu verhalten, denke ich, dass es fast zu spät ist und man die Ereignisse nicht mehr umkehren kann.";7;8;8;7;1;5;5;1;"master";"";4;"6";7,5;5,5;0,6;5;5,25;1;"de-DE";"de";"MacIntel";768;1366;179;1366;"Europe/Berlin";-60;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 OPR/102.0.0.0";768;1366;7;1;6;6;6;2;6;6;5;7;"5d6fda2bde432b0019b19ba7";6;6;4;5;"5";35,2;"3265d161-73e2-49c1-adb5-4fc6753d1458";"noID";-0,846153846153846;-0,230769230769231;0,153846153846154;0;0,262820512820513;0,452642894799214;0,674242424242424;0,725631450428008;6,46153846153846;6,46153846153846;12;5;5;13;4;7;2;0;12;11;1;0;2,25;1;0,132530120481927;-0,244147157190636;5;0;1;0;"Germany"
"5";"Weil ich den Klimawandel als ernstzunehmendes Problem betrachte, dass viele negative Auswirkung auf das menschliche Zusammenleben und vor allem die Umwelt hat.";9;9;9;8;1;7;7;1;"highschool";"";5;"2";8,75;7;0,04;6,375;7;1,125;"de";"de-DE";"Win32";720;1280;436;1696;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0";808;1696;7;6;7;7;7;6;6;5;7;7;"60fd19bb0d1f1d54adccc4fa";7;7;7;7;"1";12,8666666666667;"9ecd3093-30bb-42f3-b8bd-3e02ba94e179";"noID";-0,666666666666667;-0,166666666666667;0,196969696969697;0,15;0,166666666666667;0,426021658027783;0,573553719008264;0,582157614496779;6,40909090909091;6,40909090909091;14;5;5;12;3;5;0;4;13;13;0;0;2,23076923076923;1;-0,350649350649351;-0,172932330827067;4;-3;1;0;"Germany"
"6";"Weil der Klimawandel mehr Nachteile als Vorteile mit sich bringt, obgleich ich finde das eine Kombination aus Überdramatisierung und falschen Maßnahmen (z.B. Abschaltung der Atomkraftwerke) stattfindet.";9;5;7;7;1;2;4;1;"master";"";6;"8";7;2,5;1;4,125;3;1;"en-US";"en-US";"Win32";1080;1920;179;1920;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/119.0";927;1920;7;3;5;1;6;1;7;3;1;3;"650a5cc55e8ddf8bae0b81fb";5;4;1;2;"1";19,9666666666667;"5b5bbdca-3a16-4d28-8cd5-0fe011e4791c";"noID";-0,923076923076923;-0,384615384615385;0,153846153846154;0;0,512820512820513;0,68363834422658;0,869949494949495;0,773094881687657;4,97435897435897;4,97435897435897;11;4;4;13;2;7;1;3;12;12;0;0;2,16666666666667;1;-0,0500000000000006;-0,554083885209713;8;0;1;0;"Germany"
"7";"Manche dinge kommen mir kompliziert vor";6;6;6;6;1;5;5;1;"bachelor";"";7;"5";6;4,5;0,44;3,75;4,5;1;"en-US";"en-US";"Win32";768;1366;435;1366;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36";651;1366;5;3;4;3;5;4;3;3;4;4;"6546ae64283c55141ad64787";5;5;4;4;"8";22,9833333333333;"8120cee9-8651-4109-a700-a43c9365d39c";"noID";-0,25;-0,0833333333333333;0,181818181818182;0,125;0,363636363636364;0,594534639933122;0,79504132231405;0,699294993705929;5,57575757575758;5,57575757575758;11;4;4;12;5;6;1;0;12;11;1;1;2,25;1;0,132530120481927;-0,428571428571429;6;0;1;0;"Germany"
"8";"Meine Mind-Map ist in der Hinsicht positiv, dass sie die Aspekte aufzeigt welche wir als Menschen tun können, um den Klimawandel weniger negativ zu beeinflussen. Beispielsweise wenn wir öffentliche Verkehrsmittel nehmen oder die Politik aktiv dazu anregen, sich mit diesem Thema auseinanderzusetzen, um hilfreiche Maßnahmen umzusetzen.";7;7;9;6;1;6;5;1;"highschool";"Vorab, danke für die Studie. Ich möchte Ihnen ein paar Besserungsvorschläge geben. Bei der Erklärung zu der Mind-Map, falls es möglich wäre das man auch die Tasten A und D zum rückwärts und vorwärts bewegen der Seite benutzen kann, wäre dies wahrscheinlich hilfreich bzw. angenehmer, da nicht jede Tastatur gut erreichbare Pfeiltasten hat.
Zum Mind-Map Aspekt an sich möchte ich vorallem Feedback geben. Leider habe ich mich durch das Zeitlimit von 15 Minuten eher unter Druck gesetzt gefühlt, weil während der Aufgabe kein Timer sichtbar war und die Studie im Vollbildmodus auch meine Desktop-Uhr verdeckt hat. Wenn Sie für Ihre nächste Studie einen sichtbaren Timer hinzufügen können, wäre dies sehr hilfreich. Vielen Dank und ich wünsche Ihnen viel Erfolg bei Ihrer Forschung!";8;"8";7,25;6;0,68;5,75;5,75;1;"en-US";"de";"Win32";1080;1920;435;1534;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36";864;1534;7;6;7;6;7;2;5;6;6;7;"6427068bce4fc1aa335ad025";6;7;5;5;"2";45,55;"0f77c54c-4983-46b9-92fb-8abd07a5893b";"noID";0,0769230769230769;0,153846153846154;0,205128205128205;0,0967741935483871;0,128205128205128;0,349726059805577;0,400673400673401;0,500192378324205;2,78205128205128;2,78205128205128;5;5;5;13;6;4;2;1;16;16;0;0;1,125;1;-0,116279069767442;-0,129411764705882;4;0;1;0;"Germany"
"9";"Der Klimawandel hat nicht gerade Vorteile, es sei denn man gehört zu den Grünen und nutzt die Panik der Leute aus um seine Politik voran zu treiben und Massen an Geldern zu kassieren. Oder man hat es gerne warm. Negativ ist diese Ausnutzung und auch dass deswegen zum Umweltschutz alles teuer wird und wenn tatsächlich die Polkappen deswegen schmelzen, wäre es sehr schlimm. Denn ich mag Pinguine und Eisbären an den unterschiedlichen Polen. ";9;7;4;9;1;3;5;1;"highschool";"Ich fand es sehr interessant und auch das mit den Bonuszahlungen nett geregelt";9;"9";7,25;3,25;1;3,5;4;1,25;"en-US";"de-DE";"Win32";864;1536;436;1528;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0";716;1528;7;1;6;1;4;1;1;7;3;2;"653128a510c3e3686565e042";2;3;6;5;"10";77,05;"b8dfdbea-30d5-478f-bdf2-3e20e3b0c4e6";"noID";-2,28571428571429;-0,714285714285714;0,164835164835165;0,12;0,142857142857143;0,358291208266298;0,494082840236686;0,666196636655317;6,07692307692308;6,07692307692308;15;6;6;14;1;11;1;1;15;13;2;0;2,13333333333333;1;-0,363636363636367;-0,224489795918367;3;-3;0,862068965517241;0;"Germany"
"10";"Klimawandel, ja bitte. Je wärmer desto besser und die Spezies Mensch wird so oder so verrecken, so wie 99,99% aller Spezies vor ihr.";5;2;2;8;1;1;1;1;"master";"";10;"11";4,25;1,25;1;1;1,25;1;"de-DE";"de";"Win32";1080;1920;435;1879;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/104.0.0.0";939;1879;1;1;1;1;1;1;1;1;1;2;"5c258d9a3217420001e6bdf4";1;1;1;2;"1";26,15;"f417fa93-f809-4e7b-9e56-8ce891866f75";"noID";0,461538461538462;0,153846153846154;0,166666666666667;0,142857142857143;0,166666666666667;0,397276518742646;0,491161616161616;0,668761059958336;7,69230769230769;7,69230769230769;14;5;5;13;7;5;0;1;13;8;5;2;2,61538461538462;1;-0,045576407506701;0,0630630630630631;4;2;1;0,166666666666667;"Germany"
